Institute ID,Name,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023,Rank_2024,Rank_2025,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021,Score_2022,Score_2023,Score_2024,Score_2025,TLR (100)_2017,TLR (100)_2018,TLR (100)_2019,TLR (100)_2020,TLR (100)_2021,TLR (100)_2022,TLR (100)_2023,TLR (100)_2024,TLR (100)_2025,RPC (100)_2017,RPC (100)_2018,RPC (100)_2019,RPC (100)_2020,RPC (100)_2021,RPC (100)_2022,RPC (100)_2023,RPC (100)_2024,RPC (100)_2025,GO (100)_2017,GO (100)_2018,GO (100)_2019,GO (100)_2020,GO (100)_2021,GO (100)_2022,GO (100)_2023,GO (100)_2024,GO (100)_2025,OI (100)_2017,OI (100)_2018,OI (100)_2019,OI (100)_2020,OI (100)_2021,OI (100)_2022,OI (100)_2023,OI (100)_2024,OI (100)_2025,PERCEPTION (100)_2017,PERCEPTION (100)_2018,PERCEPTION (100)_2019,PERCEPTION (100)_2020,PERCEPTION (100)_2021,PERCEPTION (100)_2022,PERCEPTION (100)_2023,PERCEPTION (100)_2024,PERCEPTION (100)_2025,SS_2018,SS_2019,SS_2021,SS_2022,SS_2023,SS_2024,SS_2025,FSR_2018,FSR_2019,FSR_2021,FSR_2022,FSR_2023,FSR_2024,FSR_2025,FQE_2018,FQE_2019,FQE_2021,FQE_2022,FQE_2023,FQE_2024,FQE_2025,FRU_2018,FRU_2019,FRU_2021,FRU_2022,FRU_2023,FRU_2024,FRU_2025,PU_2018,PU_2019,PU_2021,PU_2022,PU_2023,PU_2024,PU_2025,QP_2018,QP_2019,QP_2021,QP_2022,QP_2023,QP_2024,QP_2025,IPR_2018,IPR_2019,IPR_2021,IPR_2022,IPR_2023,IPR_2024,IPR_2025,FPPP_2018,FPPP_2019,FPPP_2021,FPPP_2022,FPPP_2023,FPPP_2024,FPPP_2025,GPHE_2018,GPHE_2019,GPHE_2021,GPHE_2022,GPHE_2023,GPHE_2024,GPHE_2025,GUE_2018,GUE_2019,GUE_2021,GUE_2022,GUE_2023,GUE_2024,GUE_2025,MS_2018,MS_2019,MS_2021,MS_2022,MS_2023,MS_2024,MS_2025,GPHD_2018,GPHD_2019,GPHD_2021,GPHD_2022,GPHD_2023,GPHD_2024,GPHD_2025,RD_2018,RD_2019,RD_2021,RD_2022,RD_2023,RD_2024,RD_2025,WD_2018,WD_2019,WD_2021,WD_2022,WD_2023,WD_2024,WD_2025,ESCS_2018,ESCS_2019,ESCS_2021,ESCS_2022,ESCS_2023,ESCS_2024,ESCS_2025,PCS_2018,PCS_2019,PCS_2021,PCS_2022,PCS_2023,PCS_2024,PCS_2025,PR_2018,PR_2019,PR_2021,PR_2022,PR_2023,PR_2024,PR_2025
IR-E-C-1336,BMS Institute of Technology & Management,95.0,,157.0,169.0,152.0,199.0,,,,36.67,,32.07,32.36,35.1,33.76,,,,60.5,,48.31,48.02,49.99,46.4,,,,5.27,,2.52,4.04,4.88,4.77,,,,50.66,,54.21,51.43,59.32,56.46,,,,62.29,,54.49,53.36,54.59,54.39,,,,5.78,,5.44,11.13,13.24,16.8,,,,,9.0,10.5,10.5,,,,,21.89,20.36,18.09,,,,,9.53,10.16,9.66,,,,,7.9,8.97,15.0,,,,,0.59,1.32,1.45,,,,,1.85,3.51,3.25,,,,,0.0,0.0,0.0,,,,,0.08,5.0,0.07,,,,,28.0,33.84,31.27,,,,,15.0,15.0,15.0,,,,,11.21,10.48,10.11,,,,,0.0,0.0,0.08,,,,,7.76,7.97,7.89,,,,,24.92,24.6,24.51,,,,,1.8,2.02,41.98,,,,,20.0,20.0,20.0,,,,,5.44,13.24,16.8,,,
IR-E-C-1345,"P E S College of Engineering, Mandya",,,161.0,147.0,139.0,137.0,,,,,,31.98,33.65,35.89,37.4,,,,,,58.74,59.25,60.69,60.32,,,,,,0.83,0.71,1.04,1.47,,,,,,48.07,51.11,56.57,65.45,,,,,,43.41,54.45,60.6,57.73,,,,,,1.63,0.0,0.0,0.0,,,,,8.87,8.79,11.42,,,,,30.0,29.54,29.0,,,,,11.49,13.01,12.87,,,,,8.37,9.35,7.04,,,,,35.0,0.41,0.41,,,,,0.22,0.47,0.42,,,,,0.0,0.0,0.5,,,,,0.27,0.16,0.13,,,,,21.4,30.68,35.72,,,,,15.0,15.0,15.0,,,,,10.36,10.72,9.89,,,,,4.13,0.16,4.85,,,,,0.31,5.47,1.93,,,,,25.92,29.7,30.0,,,,,1.18,5.43,5.79,,,,,16.0,20.0,20.0,,,,,1.63,0.0,0.0,,,
IR-E-C-1352,Nitte Meenakshi Institute of Technology,,100,142.0,128.0,168.0,183.0,,,,,35.84,32.82,34.97,34.14,34.97,,,,,57.24,53.89,58.44,57.43,56.55,,,,,2.53,3.6,6.1,4.88,7.7,,,,,57.97,48.33,49.4,50.31,50.82,,,,,57.19,53.87,53.09,51.73,53.8,,,,,5.97,5.07,4.22,2.17,1.6,,,,12.0,12.5,11.39,11.57,,,,26.27,23.64,26.12,25.54,,,,10.62,10.03,12.07,12.0,,,,8.36,7.72,7.85,7.44,,,,0.52,0.69,1.78,2.05,,,,0.85,0.63,2.87,3.46,,,,0.5,2.0,0.0,2.0,,,,0.67,0.29,0.22,0.2,,,,29.55,22.05,23.74,24.69,,,,15.0,15.0,14.68,13.91,,,,13.21,10.79,10.54,11.4,,,,0.21,0.49,1.34,0.82,,,,8.38,8.57,7.04,10.16,,,,23.6,22.66,22.53,22.33,,,,5.21,2.64,2.16,1.32,,,,20.0,20.0,20.0,20.0,,,,5.97,5.07,2.17,1.6,,,
IR-E-C-1360,Basaveshwar Engineering College,,,191.0,,,,,,,,,30.58,,,,,,,,,51.15,,,,,,,,,1.27,,,,,,,,,50.9,,,,,,,,,44.82,,,,,,,,,2.02,,,,,,,,10.5,,,,,,,23.38,,,,,,,104.15,,,,,,,7.12,,,,,,,0.55,,,,,,,0.47,,,,,,,0.0,,,,,,,0.25,,,,,,,24.84,,,,,,,15.0,,,,,,,11.07,,,,,,,0.0,,,,,,,0.57,,,,,,,27.46,,,,,,,4.79,,,,,,,12.0,,,,,,,2.02,,,,,
IR-E-C-1371,New Horizon College of Engineering,,99,106.0,114.0,141.0,121.0,,,,,35.95,35.5,36.6,35.87,38.18,,,,,57.0,56.3,55.94,51.75,56.94,,,,,2.23,1.71,5.26,5.91,6.53,,,,,62.4,61.75,63.07,64.47,64.91,,,,,56.96,56.68,55.65,53.23,56.49,,,,,0.0,0.82,0.55,3.56,5.12,,,,12.0,12.0,13.5,12.0,,,,24.05,24.04,19.51,24.44,,,,11.84,12.42,11.1,13.05,,,,9.12,7.84,7.64,7.46,,,,0.1,0.14,0.25,0.41,,,,1.85,0.39,0.75,1.41,,,,0.0,0.5,4.0,4.0,,,,0.28,0.67,0.91,0.71,,,,30.69,30.54,34.27,35.59,,,,15.0,15.0,15.0,15.0,,,,16.19,15.53,14.5,13.79,,,,0.52,0.68,0.7,0.53,,,,10.43,10.43,9.06,10.38,,,,23.27,23.11,22.49,24.05,,,,3.26,3.14,1.69,2.07,,,,20.0,20.0,20.0,20.0,,,,0.0,0.82,3.56,5.12,,,
IR-E-C-1398,BNM Institute of Technology,,,156.0,186.0,,,,,,,,32.08,31.48,,,,,,,,56.63,55.66,,,,,,,,0.91,1.11,,,,,,,,47.99,46.87,,,,,,,,51.04,50.8,,,,,,,,1.22,0.0,,,,,,,7.19,,,,,,,29.46,,,,,,,12.65,,,,,,,7.33,,,,,,,0.48,,,,,,,0.34,,,,,,,0.0,,,,,,,10.0,,,,,,,23.49,,,,,,,13.03,,,,,,,11.47,,,,,,,0.0,,,,,,,3.09,,,,,,,27.29,,,,,,,0.66,,,,,,,20.0,,,,,,,1.22,,,,,
IR-E-C-1400,NMAM Institute of Technology,,,128.0,133.0,138.0,175.0,,,,,,33.84,34.73,35.93,35.27,,,,,,55.92,58.73,59.12,55.31,,,,,,3.66,5.43,9.14,11.41,,,,,,49.16,50.17,50.79,50.35,,,,,,51.38,48.85,48.71,48.78,,,,,,9.92,5.69,4.23,3.14,,,,,12.0,12.0,12.0,,,,,24.69,26.31,24.01,,,,,10.83,12.57,11.92,,,,,8.4,8.24,7.38,,,,,1.72,4.26,3.91,,,,,1.71,4.72,5.35,,,,,0.0,0.0,2.0,,,,,0.24,0.16,0.14,,,,,22.55,24.13,23.67,,,,,15.0,15.0,15.0,,,,,11.31,11.35,11.52,,,,,0.3,0.32,0.16,,,,,5.04,2.37,2.36,,,,,25.43,25.34,24.93,,,,,0.91,1.01,1.49,,,,,20.0,20.0,20.0,,,,,9.92,4.23,3.14,,,
IR-E-C-1406,C M R Institute of Technology,,,174.0,,193.0,180.0,,,,,,31.36,,32.56,35.11,,,,,,52.63,,55.56,57.33,,,,,,1.44,,4.14,8.29,,,,,,48.24,,46.07,49.8,,,,,,52.06,,52.22,52.0,,,,,,2.81,,2.17,2.64,,,,,10.84,9.98,9.95,,,,,27.84,25.34,28.64,,,,,7.91,11.86,12.36,,,,,6.04,8.39,6.39,,,,,0.5,1.13,2.28,,,,,0.78,1.82,2.81,,,,,0.0,1.0,3.0,,,,,0.15,0.19,0.2,,,,,23.26,22.5,25.18,,,,,13.74,12.65,13.61,,,,,11.14,10.91,11.01,,,,,10.0,0.0,0.0,,,,,6.06,6.25,6.14,,,,,24.44,24.52,24.29,,,,,1.57,1.45,1.57,,,,,20.0,20.0,20.0,,,,,2.81,2.17,2.64,,,
IR-E-C-1412,JSS Science and Technology University,,,120.0,132.0,188.0,158.0,,,,,,34.43,34.81,33.04,36.36,,,,,,56.21,55.76,50.71,54.77,,,,,,2.45,3.86,4.3,6.55,,,,,,55.88,54.88,53.39,58.03,,,,,,52.19,51.44,49.93,51.84,,,,,,4.33,8.05,8.68,11.78,,,,,12.47,11.52,12.07,,,,,23.81,20.49,23.09,,,,,11.7,10.67,11.79,,,,,8.23,8.03,7.82,,,,,1.02,1.81,1.99,,,,,1.21,2.34,2.66,,,,,0.0,0.0,1.5,,,,,0.22,0.16,0.39,,,,,27.84,25.3,29.55,,,,,15.0,14.53,14.45,,,,,11.46,11.88,12.46,,,,,7.0,1.68,1.57,,,,,1.24,1.1,1.76,,,,,26.47,25.39,25.41,,,,,4.48,3.45,4.67,,,,,20.0,20.0,20.0,,,,,4.33,8.68,11.78,,,
IR-E-C-1413,Dayananda Sagar College of Engineering,,,127.0,126.0,,,,,,,,33.99,35.11,,,,,,,,51.05,51.56,,,,,,,,4.34,6.69,,,,,,,,57.87,57.99,,,,,,,,55.33,54.63,,,,,,,,2.81,5.69,,,,,,,11.75,,,,,,,21.85,,,,,,,9.53,,,,,,,7.92,,,,,,,1.84,,,,,,,2.14,,,,,,,0.0,,,,,,,0.36,,,,,,,27.11,,,,,,,15.0,,,,,,,15.66,,,,,,,0.1,,,,,,,7.03,,,,,,,27.63,,,,,,,0.67,,,,,,,20.0,,,,,,,2.81,,,,,
IR-E-C-1438,The National Institute of Engineering,,,178.0,175.0,196.0,,,,,,,31.25,32.17,32.52,,,,,,,48.68,51.97,53.79,,,,,,,2.59,2.65,2.33,,,,,,,51.89,51.05,51.03,,,,,,,50.16,50.57,50.48,,,,,,,4.7,5.21,4.23,,,,,,10.5,10.5,,,,,,21.07,24.04,,,,,,9.34,11.15,,,,,,7.76,8.1,,,,,,0.64,0.86,,,,,,0.37,1.18,,,,,,1.0,0.0,,,,,,0.59,0.29,,,,,,24.58,24.2,,,,,,15.0,15.0,,,,,,12.12,141.75,,,,,,0.2,0.08,,,,,,2.45,2.86,,,,,,24.94,24.13,,,,,,2.77,3.5,,,,,,20.0,20.0,,,,,,4.7,4.23,,,,
IR-E-C-16476,Sri Sai Ram Institute of Technology,,,194.0,192.0,,,,,,,,30.48,31.32,,,,,,,,47.09,48.89,,,,,,,,2.18,2.8,,,,,,,,54.5,54.08,,,,,,,,46.82,47.67,,,,,,,,1.22,2.16,,,,,,,7.95,,,,,,,25.2,,,,,,,9.66,,,,,,,4.27,,,,,,,0.29,,,,,,,0.74,,,,,,,1.0,,,,,,,0.14,,,,,,,28.89,,,,,,,15.0,,,,,,,10.61,,,,,,,0.0,,,,,,,0.29,,,,,,,25.71,,,,,,,0.81,,,,,,,20.0,,,,,,,1.22,,,,,
IR-E-C-16490,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,,,189.0,,,,,,,,,30.61,,,,,,,,,45.97,,,,,,,,,5.25,,,,,,,,,52.77,,,,,,,,,45.74,,,,,,,,,1.22,,,,,,,,8.9,,,,,,,23.27,,,,,,,8.71,,,,,,,5.09,,,,,,,1.86,,,,,,,1.23,,,,,,,2.0,,,,,,,0.16,,,,,,,28.63,,,,,,,12.6,,,,,,,11.05,,,,,,,0.49,,,,,,,1.09,,,,,,,23.79,,,,,,,0.86,,,,,,,20.0,,,,,,,1.22,,,,,
IR-E-C-16504,Sri Venkateswara College of Engineering and Technology,,,176.0,,,198.0,,,,,,31.3,,,33.77,,,,,,54.96,,,51.15,,,,,,0.39,,,1.54,,,,,,51.84,,,59.07,,,,,,42.8,,,58.37,,,,,,0.41,,,3.14,,,,,9.84,,9.36,,,,,28.04,,26.08,,,,,9.5,,10.85,,,,,7.58,,4.86,,,,,0.07,,0.11,,,,,0.24,,0.28,,,,,0.0,,1.0,,,,,9.0,,0.14,,,,,25.22,,32.25,,,,,12.94,,14.83,,,,,12.81,,11.6,,,,,0.87,,0.38,,,,,7.56,,5.13,,,,,21.79,,25.15,,,,,1.45,,8.08,,,,,12.0,,20.0,,,,,0.41,,3.14,,,
IR-E-C-16537,St. Josephs College of Engineering,97.0,,128.0,160.0,183.0,,,,,36.51,,33.84,32.95,33.36,,,,,59.47,,57.62,53.65,51.5,,,,,6.74,,5.38,6.81,10.67,,,,,49.39,,54.55,52.88,50.71,,,,,64.92,,40.28,42.44,45.66,,,,,2.8,,0.0,0.0,0.0,,,,,,13.5,12.72,,,,,,27.43,22.81,,,,,,11.73,11.54,,,,,,4.97,4.43,,,,,,2.22,3.08,,,,,,3.12,6.04,,,,,,0.0,1.5,,,,,,0.04,0.04,,,,,,29.1,26.94,,,,,,14.8,13.29,,,,,,10.65,10.39,,,,,,0.0,0.08,,,,,,0.81,0.62,,,,,,25.51,24.24,,,,,,0.95,0.8,,,,,,13.0,20.0,,,,,,0.0,0.0,,,,
IR-E-C-16547,Sri Sairam Engineering College,96.0,,123.0,108.0,109.0,157.0,,,,36.64,,34.32,36.91,37.84,36.41,,,,54.19,,54.76,57.03,55.56,58.22,,,,3.84,,3.28,6.36,11.27,13.81,,,,59.32,,56.4,58.74,58.93,45.94,,,,68.75,,52.34,58.23,57.83,51.02,,,,4.86,,3.95,3.2,2.17,5.12,,,,,12.45,12.58,12.45,,,,,25.38,25.17,27.11,,,,,11.26,11.67,12.44,,,,,5.68,6.13,6.52,,,,,1.42,3.92,4.05,,,,,1.58,4.04,4.4,,,,,0.0,3.0,5.0,,,,,0.28,0.32,0.37,,,,,30.1,30.45,18.16,,,,,15.0,15.0,15.0,,,,,10.71,11.6,10.12,,,,,0.59,1.88,2.66,,,,,0.89,2.88,3.41,,,,,26.23,26.2,26.56,,,,,5.22,8.75,1.05,,,,,20.0,20.0,20.0,,,,,3.95,2.17,5.12,,,
IR-E-C-16560,Easwari Engineering College,,,200.0,,189.0,181.0,,,,,,30.31,,32.75,35.07,,,,,,48.15,,51.44,52.8,,,,,,2.9,,2.41,7.21,,,,,,50.17,,56.66,57.95,,,,,,47.64,,48.49,51.24,,,,,,2.02,,4.23,3.65,,,,,12.0,9.77,9.73,,,,,22.18,24.43,24.92,,,,,9.17,11.41,12.1,,,,,4.8,6.13,6.05,,,,,1.36,0.8,1.36,,,,,1.32,1.32,2.62,,,,,0.0,0.0,3.0,,,,,0.22,0.3,0.22,,,,,24.9,30.67,31.7,,,,,12.73,13.91,14.61,,,,,12.24,11.99,11.65,,,,,0.3,0.08,0.0,,,,,0.8,12.0,25.0,,,,,23.68,22.31,22.1,,,,,3.16,6.05,8.89,,,,,20.0,20.0,20.0,,,,,2.02,4.23,3.65,,,
